,Gérard Bapt,Jean-Paul Chanteguet,Guy-Michel Chauveau,Michel Destot,René Dosière,Jean-Louis Dumont,Laurence Dumont,Henri Emmanuelli,Michel Françaix,Jean-Luc Laurent,Gilbert Le Bris,Jean-Yves Le Déaut,Jean-Marie Le Guen,Alain Rodet,Michel Vauzelle,Philip Cordery,Monique Rabin,Frédérique Massat,Vincent Burroni,Luce Pane,Gisèle Biémouret,Laurent Baumel,Michel Vergnier,Jean Glavany,Élisabeth Guigou,Michel Pajon,Jean-Paul Bacquet,Dominique Baert,François Brottes,Christophe Caresche,Alain Claeys,Philippe Duron,Christian Franqueville,Françoise Imbert,Conchita Lacuey,Bruno Le Roux,Michel Liebgott,Philippe Nauche,Christian Paul,Germinal Peiro,Jean-Claude Perez,Geneviève Gaillard,Marie-Line Reynaud,Bernard Roman,Odile Saugues,Pascal Terrasse,Fabrice Verdier,Patrick Lemasle,Christian Assaf,Sylviane Alaux,Philippe Martin,Yann Capet,Corinne Erhel,Christophe Léonard,Christophe Sirugue,Jean Launay,Jean-Yves Caullet,Dominique Chauvel,Jean-Claude Fruteau,Brigitte Bourguignon,Dominique Raimbourg,Kléber Mesquida,Patricia Adam,Jean-Yves Le Bouillonnec,Danièle Hoffman-Rispal,Annick Lepetit,Gwendal Rouillard,Martine Martinel,Monique Iborra,Michel Issindou,Pascal Deguilhem,Jacqueline Maquet,Christian Hutin,Guy Chambefort,Bernard Lesterlin,Daniel Goldberg,Marietta Karamanli,Jean-Michel Villaumé,Guy Delcourt,Marc Goua,Jacques Valax,Catherine Coutelle,Sandrine Mazetier,Jean-Michel Clément,Pascale Got,Pierre-Alain Muet,Jean-Louis Touraine,Christophe Bouillon,Pascale Crozon,Catherine Quéré,Marie-Odile Bouillé,Marie-Lou Marcel,Chantal Berthelot,Henri Jibrayel,Philippe Plisson,Jean-René Marsac,Martine Pinville,Jean-Jacques Cottel,Olivier Faure,François Pupponi,Sophie Dessus,Gilbert Sauvan,Christophe Castaner,Karine Berger,Jean-David Ciot,Sabine Buis,Marie-Hélène Fabre,Patrick Mennucci,Suzanne Tallard,Kheira Bouziane-Laroussi,Michel Lesage,Viviane Le Dissez,Annie Le Houerou,Laurent Grandguillaume,Françoise Dumas,Barbara Romagnan,Chantal Guittet,Anne-Yvonne Le Dain,Fanny Dombre Coste,Frédéric Roig,Marie Récalde,Christophe Borgel,Sébastien Denaja,Patrick Vignal,Marie-Anne Chapdelaine,Nathalie Appéré,François André,Isabelle Bruneau,Valérie Corre,Lucette Lousteau,Sophie Errante,Hervé Pellois,Jean-Pierre Le Roch,Philippe Noguès,Stéphane Travert,Chaynesse Khirouni,Dominique Potier,Jean-Pierre Allossery,Anne-Lise Dufour-Tonini,Laurent Kalinowski,Paola Zanetti,Audrey Linkenheld,Rémi Pauvros,Jacques Cresta,Pierre Aylagas,Christine Pires Beaune,Edith Gueugneau,Cécile Untermaier,Françoise Dubois,Béatrice Santais,Bernadette Laclais,Seybah Dagoma,Catherine Troallic,Sylviane Bulteau,Hugues Fourage,Linda Gourjade,Valérie Rabault,Michèle Fournier-Armand,Malek Boutih,Catherine Beaubatie,Pascal Popelin,Philippe Bies,Philippe Kemel,Boinali Said,Sébastien Pietrasanta,Gérard Sebaoun,Dominique Lefebvre,Hélène Geoffroy,Michel Pouzol,Joaquim Pueyo,Colette Capdevielle,Philippe Doucet,Axelle Lemaire,Pierre-Yves Le Borgn',Daphna Poznanski-Benhamou,Pouria Amirshahi,Jean-Pierre Maggi,Émilienne Poumirol,Jean-Pierre Fougerat,Jean-Luc Drapeau,Jean-Claude Gouget,Avi Assouly,Geneviève Gosselin-Fleury,Thérèse Guilbert,Vincent Feltesse,Guillaume Bachelay,Gérard Terrier,Pierre Léautey,Sylvie Pichot,Sylvie Tolmont,Gwenegan Bui,Frédéric Barbier,Fanélie Carrey-Conte,Florence Delaunay,Philippe Le Ray,Philippe Folliot,Sonia Lagarde,Philippe Gomès,Noël Mamère,François de Rugy,Danielle Auroi,Denis Baupin,Barbara Pompili,Sergio Coronado,François-Michel Lambert,Isabelle Attard,Christophe Cavard,Éric Alauzet,Jean-Louis Roumégas,Paul Molac,Eva Sas,Véronique Massonneau,Laurence Abeille,Michèle Bonneton,Brigitte Allain,Roger-Gérard Schwartzenberg,Gérard Charasse,Alain Tourret,Joël Giraud,Paul Giacobbi,Dominique Orliac,Jacques Krabal,Olivier Falorni,Jeanine Dubié,Thierry Braillard,Thierry Robert,Jean-Noël Carpentier,Ary Chalus,Jacques Moignard,Carlos Da Silva,Patrick Balkany,Jean-Michel Couve,Olivier Dassault,Bernard Debré,Patrick Devedjian,Christian Estrosi,François Fillon,Christian Kert,Pierre Lequiller,Alain Marleix,Jean-Claude Mignon,Alain Moyne-Bressand,Patrick Ollier,Guy Teissier,Michel Terrot,Michel Voisin,Marc-Philippe Daubresse,Bernard Perrut,Camille de Rocca Serra,Guénhaël Huet,Christophe Guilloteau,Gilles Lurton,Bernard Accoyer,Gérard Cherpion,François Cornut-Gentille,Lucien Degauchy,Alain Gest,Philippe Houillon,Patrick Labaune,Thierry Lazaro,Marc Le Fur,Alain Marsaud,Jacques Myard,Yves Nicolin,Alain Suguenot,François Vannson,Henri Guaino,Dominique Dord,Philippe Goujon,Claude Goasguen,Gilles Carrez,Christian Jacob,Jean-François Copé,Catherine Vautrin,Jean-Luc Warsmann,Olivier Marleix,Jean-Frédéric Poisson,Yves Fromion,Jean-Pierre Giran,Jean-Claude Guibal,Michel Herbillon,Jacques Kossowski,Lionnel Luca,Didier Quentin,André Schneider,Thierry Solère,Pierre Morange,Bernard Deflesselles,Patrice Verchère,Bernard Brochand,Dominique Tian,Michel Sordi,Étienne Blanc,Xavier Bertrand,Franck Gilard,Jean-Pierre Gorges,Luc Chatel,Sébastien Huyghe,Arlette Grosskost,Michel Heinrich,Bérengère Poletti,Jean-Pierre Door,Dominique Le Mèner,Antoine Herth,Jean-Louis Christ,Geneviève Levy,Dino Cinieri,Philippe Vitel,Marcel Bonnot,Josette Pons,Valérie Pécresse,Christophe Priou,Édouard Courtial,Philippe Cochet,Guy Geoffroy,Jacques Alain Bénisti,Axel Poniatowski,Jordi Ginesta,Serge Grouard,Jean-Claude Mathis,François Scellier,Jean-Charles Taugourdeau,Jean-Sébastien Vialatte,Éric Woerth,Frédéric Reiss,Nathalie Kosciusko-Morizet,Virginie Duby-Muller,Marc Francina,Charles-Ange Ginesy,Damien Abad,Bernard Gérard,Charles de la Verpillière,Lionel Tardy,Jean-Claude Bouchet,Éric Straumann,Xavier Breton,Jean-François Lamour,Marie-Christine Dalloz,Laure de La Raudière,Rémi Delatte,Alain Marc,Valérie Boyer,Sauveur Gandolfi-Scheit,Anne Grommerch,Arnaud Robinet,David Douillet,Paul Salen,Laurent Furst,Jean-Pierre Barbier,Claude de Ganay,Jean-Pierre Vigier,Véronique Louwagie,Alain Chrétien,Dominique Nachury,Patrick Hetzel,Sophie Dion,François de Mazières,Valérie Lacroute,Alain Leboeuf,Olivier Audibert Troin,Julien Aubert,Guillaume Chevrollier,Sophie Rohfritsch,Claudine Schmid,Élie Aboud,Sylvain Berrios,Jacques Bompard,Marion Maréchal-Le Pen,Jean-Jacques Urvoas,Pascale Boistard,Michel Ménard,Clotilde Valter,Florent Boudié,Alexis Bachelay,Jean-Luc Reitzer,Isabelle Le Callennec,Jacques Lamblin,François Asensi,Alain Bocquet,Marc Dolez,Jacqueline Fraysse,Marie-George Buffet,Nicolas Sansu,André Chassaigne,Jean-Jacques Candelier,Gaby Charroux,Jean Lassalle,Gilbert Collard,Claude Bartolone
Gérard Bapt,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Paul Chanteguet,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guy-Michel Chauveau,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Destot,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
René Dosière,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Louis Dumont,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurence Dumont,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henri Emmanuelli,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Françaix,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Luc Laurent,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
