;@xsi:type;uid[1];codeType[1];libelle[1];libelleEdition[1];libelleAbrege[1];libelleAbrev[1];viMoDe[1];viMoDe[1]/dateDebut[1];viMoDe[1]/dateAgrement[1];viMoDe[1]/dateFin[1];regimeJuridique[1];regime[1];legislature[1];secretariat[1];secretariat[1]/secretaire01[1];secretariat[1]/secretaire02[1];positionPolitique[1]
;OrganeExtraParlementaire_type;PO428972;ORGEXTPARL;Comité de liaison scientifique et technique des pêches maritimes et de l'aquaculture;du Comité de liaison scientifique et technique des pêches maritimes et de l'aquaculture;Pêches maritimes et aquaculture;281;;2011-04-19;;2017-06-27;Article 1er du décret n° 2011-433 du 19 avril 2011;;;;;;
;OrganeExtraParlementaire_type;PO428181;ORGEXTPARL;Comité de suivi du niveau et de l'évolution des taux d'intérêt des prêts aux particuliers;du Comité de suivi du niveau et de l'évolution des taux d'intérêt des prêts aux particuliers;Prêts aux particuliers;277;;2010-07-01;;2014-12-22;Article L. 313-3 du code de la consommation;;;;;;
;OrganeExtraParlementaire_type;PO429006;ORGEXTPARL;Conseil d'orientation de France expertise internationale;du conseil d'orientation de France expertise internationale;France expertise internationale (CO);280;;2011-02-25;;2017-06-27;Article 12 du décret n° 2011-212 du 25 février 2011;;;;;;
;OrganeExtraParlementaire_type;PO430179;ORGEXTPARL;"Comité national ""Trames verte et bleue""";"du Comité national ""Trames verte et bleue""";Trames verte et bleue;284;;2011-06-28;;2017-06-20;Article D. 371-3 du code de l’environnement;;;;;;
;OrganeExtraParlementaire_type;PO429766;ORGEXTPARL;Conseil supérieur du travail social;du Conseil supérieur du travail social;Travail social;267;;2010-07-07;;2017-06-20;Articles 2 et 3 de l’arrêté du 7 juillet 2010;;;;;;
;OrganeExtraParlementaire_type;PO429555;ORGEXTPARL;Conseil d'administration de France expertise internationale;du conseil d'administration de France expertise internationale;France expertise internationale (CA);279;;2011-02-25;;2017-06-27;Article 4 du décret n° 2011-212 du 25 février 2011;;;;;;
;OrganeExtraParlementaire_type;PO429559;ORGEXTPARL;Conseil national de la mer et des littoraux;du Conseil national de la mer et des littoraux;Mer et littoraux;282;;2011-06-09;;;Article 3 du décret n° 2011-637du 9 juin 2011;;;;;;
;OrganeExtraParlementaire_type;PO429567;ORGEXTPARL;Haut Conseil à la vie associative;du Haut Conseil à la vie associative;Vie associative;283;;2011-06-28;;;Article 4 du décret n° 2011-773 du 28 juin 2011;;;;;;
;OrganeExterne_Type;PO436945;DELEGSENAT;Délégation sénatoriale à l'Outre-mer;;Délégation sénatoriale à l'Outre-mer;DSOMD;;2011-11-30;;;;;;;;;
;OrganeExtraParlementaire_type;PO430982;ORGEXTPARL;Comité consultatif auprès du conseil d'administration de l'Etablissement public de Paris-Saclay;du Comité consultatif auprès du conseil d'administration de l'Etablissement public de Paris-Saclay;Comité consultatif Paris-Saclay;285;;2010-08-03;;;Article 13 du décret n° 2010-911 du 3 août 2010 et article 28 de la loi n° 2010-597 du 3 juin 2010;;;;;;
;OrganeExtraParlementaire_type;PO431264;ORGEXTPARL;Observatoire national de la consommation des espaces agricoles;de l'Observatoire national de la consommation des espaces agricoles;Espaces agricoles;287;;2011-06-28;;2017-10-24;Article D. 112-1-13 du code rural et de la pêche maritime;;;;;;
;OrganeExtraParlementaire_type;PO435816;ORGEXTPARL;Comité stratégique auprès du conseil de surveillance de la société du Grand Paris;du Comité stratégique auprès du conseil de surveillance de la société du Grand Paris;Comité stratégique Grand Paris;288;;2010-07-07;;;Article 21 du décret n° 2010-756 du 7 juillet 2010 et article 8 de la loi n° 2010-597 du 3 juin 2010;;;;;;
;OrganeExtraParlementaire_type;PO430925;ORGEXTPARL;Commission nationale de la vidéoprotection;de la Commission nationale de la vidéoprotection;Vidéoprotection;286;;2011-07-25;;;Article 1er du décret n° 2011-877 du 25 juillet 2011 et article 10-2 de la loi n° 95-73 du 21 janvier 1995;;;;;;
;OrganeParlementaire_Type;PO476897;GROUPESENAT;Groupe écologiste;;Groupe écologiste;ECOPO;;2012-01-11;;2017-06-29;;;;;;;
;OrganeParlementaire_Type;PO703144;CNPE;Commission d'enquête relative aux tarifs de l'électricité;de la commission d'enquête relative aux tarifs de l'électricité;Commission d'enquête sur les tarifs de l'électricité;TARIFELEC;;2014-09-10;;2015-03-05;;5ème République;14;;;;
;OrganeExterne_Type;PO516753;COMSENAT;Commission des affaires économiques;de la commission des affaires économiques;Affaires économiques;CAECO;;2012-02-21;;;;;;;;;
;OrganeExterne_Type;PO516754;COMSENAT;Commission de l'aménagement du territoire et du développement durable;de la commission de l'aménagement du territoire et du développement durable;Aménagement du territoire et développement durable;CDDCO;;2012-02-21;;;;;;;;;
;OrganeExtraParlementaire_type;PO528194;ORGEXTPARL;comité consultatif du Fonds pour le développement de la vie associative;du comité consultatif du Fonds pour le développement de la vie associative;Vie associative (comité consultatif);290;;2011-12-30;;;Article 5 du décret n° 2011-2121 du 30 décembre 2011;;;;;;
;OrganeExterne_Type;PO591180;MINISTERE;Ministère de l'intérieur;de l'intérieur;Intérieur;INT;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591183;MINISTERE;Ministère de l'écologie, du développement durable et de l'énergie;Ministère de l'écologie, du développement durable et de l'énergie;Écologie, développement durable et énergie;EDD;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591186;MINISTERE;Ministère du redressement productif;Ministère du redressement productif;Redressement productif;REP;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExtraParlementaire_type;PO528198;ORGEXTPARL;Conseil supérieur des gens de mer;du Conseil supérieur des gens de mer;Gens de mer;291;;2011-12-30;;;Articles 3 et 4 du décret n° 2007-1227 du 21 août 2007;;;;;;
;OrganeExtraParlementaire_type;PO540562;ORGEXTPARL;Conseil d'administration de Campus France;du conseil d'administration de Campus France;Campus France;292;;2011-12-30;;;Article 4 du décret n° 2011-2048 du 30 décembre relatif à Campus France;;;;;;
;OrganeExtraParlementaire_type;PO586606;ORGEXTPARL;Conseil national du sport;du Conseil national du sport;Sport;308;;2012-01-13;;;Articles R. 142-3 et suivants du code du sport;;;;;;
;OrganeExterne_Type;PO591177;MINISTERE;Ministère de l'égalité des territoires et du logement;Ministère de l'égalité des territoires et du logement;Égalité des territoires et logement;LOG;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO590012;MINISTERE;Premier ministre;;Premier ministre;PMI;;2012-05-16;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591162;MINISTERE;Ministère des affaires étrangères;Ministère des affaires étrangères;Affaires étrangères;AET;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591165;MINISTERE;Ministère de l'éducation nationale;Ministère de l'éducation nationale;Éducation nationale;EDU;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591168;MINISTERE;Ministère de la justice;;Justice;JUS;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591171;MINISTERE;Ministère de l'économie, des finances et du commerce extérieur;Ministère de l'économie, des finances et du commerce extérieur;Économie, finances et commerce extérieur;ECO;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591174;MINISTERE;Ministère des affaires sociales et de la santé;Ministère des affaires sociales et de la santé;Affaires sociales et santé;ASO;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO590011;GOUVERNEMENT;Gouvernement;du Gouvernement;AYRAULT 1;GVT;;2012-05-16;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591226;MINISTERE;Ministère auprès de la garde des sceaux, ministre de la justice;Ministère auprès de la garde des sceaux, ministre de la justice;Justice (MD);JUSMD;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591229;MINISTERE;Ministère chargé de la ville;Ministère chargé de la ville;Ville;VIL;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591216;MINISTERE;Ministère chargé du budget;Ministère chargé du budget;Budget;BUD;;2012-05-17;;2012-06-18;;;;;;;
