UID;gender;surname;name;fullname;birthdate;mandate_uid;mandate_type
PA2371;Mme;Marie-Françoise;Perol-Dumont;PEROL_DUMONT_Marie_Francoise;26/05/52;PM734813;API
PA301592;M.;Alain;Schmitz;SCHMITZ ;27/04/48;PM736375;SENAT
PA2111;M.;Jean-Pierre;Masseret;MASSERET JEAN-PIERRE;23/08/44;PM732461;GROUPESENAT
PA267907;M.;Jean-Pierre;Grand;GRAND_Jean_Pierre;18/11/50;PM703591;SENAT
PA267340;M.;Mathieu;Darnaud;DARNAUD_Mathieu;11/07/75;PM708369;CMP
PA304081;M.;Bernard;Vera;VERA BERNARD;05/03/50;PM711839;SENAT
PA2640;M.;Max;Roustan;Roustan_Max;29/09/44;PM736419;SENAT
PA267018;M.;Michel;Raison;RAISON_Michel;05/11/49;PM703564;SENAT
PA1883;M.;Jacques;Le Nay;Le_Nay_Jacques;19/11/49;PM736286;SENAT
PA700196;Mme;Patricia;Bordas;BORDAS_PATRICIA;05/06/56;PM700197;GROUPESENAT
PA268007;M.;Jean-Pierre;Corbisez;CORBISEZ_Jean_Pierre;07/03/60;PM736325;SENAT
PA342154;M.;François;Commeinhes;COMMEINHES_Francois;10/11/49;PM703590;SENAT
PA602;M.;Jean-Claude;Boulard;BOULARD_Jean_Claude;28/03/43;PM732813;GROUPESENAT
PA267112;Mme;Chantal;Deseyne;DESEYNE_Chantal;29/01/57;PM716693;CMP
PA715745;M.;Pierre;Cuypers;Cuypers_Pierre;23/03/44;PM736297;SENAT
PA569;M.;Philippe;Bonnecarrère;BONNECARRÈRE_Philippe;12/07/55;PM713626;CMP
PA1744;M.;Alain;Joyandet;JOYANDET;15/01/54;PM703565;SENAT
PA736203;Mme;Claudine;Kauffmann;KAUFFMANN_Claudine;28/09/44;PM736432;SENAT
PA736175;M.;Pascal;Savoldelli;SAVOLDELLI_Pascal;14/01/61;PM736344;SENAT
PA736172;Mme;Marie-Christine;Chauvin;CHAUVIN_Marie_Christine;20/11/54;PM736415;SENAT
PA736171;Mme;Catherine;Fournier;FOURNIER_Catherine;16/09/55;PM736322;SENAT
PA736178;M.;Arnaud;de Belenet;BELENET_Arnaud;14/03/75;PM736296;SENAT
PA736170;Mme;Nassimah;Dindar;DINDAR_Nassimah;20/01/60;PM736266;SENAT
PA736244;Mme;Céline;Boulay-Espéronnier;BOULAY_ESPERONNIER_Celine;18/12/70;PM736333;SENAT
PA736246;Mme;Florence;Lassarade;LASSARADE_Florence;18/08/57;PM736428;SENAT
PA736158;Mme;Sylvie;Vermeillet;VERMEILLET_Sylvie;10/06/67;PM736414;SENAT
PA736159;M.;Abdallah;Hassani;HASSANI_Abdallah;02/07/54;PM736361;SENAT
PA736243;M.;Pierre;Ouzoulias;OUZOULIAS_Pierre;28/01/64;PM736413;SENAT
PA736205;Mme;Muriel;Jourda;JOURDA_Muriel;27/10/67;PM736288;SENAT
PA736229;M.;Éric;Kerrouche;KERROUCHE_Eric;02/10/67;PM736389;SENAT
PA736234;Mme;Catherine;Conconne;CONCONNE_Catherine;18/05/63;PM736424;SENAT
PA736236;Mme;Christine;Herzog;HERZOG_Christine;30/12/68;PM736341;SENAT
PA736232;M.;Jean-Marie;Janssens;JANSSENS_Jean_Marie;19/03/53;PM736401;SENAT
PA856;M.;Gérard;Cherpion;Cherpion;15/03/48;PM645353;ASSEMBLEE
PA736198;Mme;Christine;Bonfanti-Dossat;BONFANTI_DOSSAT_Christine;25/05/56;PM736406;SENAT
PA736199;M.;Joël;Bigot;BIGOT_Joel;05/02/49;PM736284;SENAT
PA736195;M.;Fabien;Gay;GAY_Fabien;13/01/84;PM736357;SENAT
PA736194;M.;Sébastien;Meurant;MEURANT_Sebastien;18/03/71;PM736291;SENAT
PA736196;M.;Dany;Wattebled;WATTEBLED_Dany;22/11/51;PM736370;SENAT
PA736197;Mme;Marta;de Cidrac;CIDRAC_Marta;13/06/64;PM736378;SENAT
PA736190;Mme;Maryse;Carrère;CARRERE_Maryse;08/04/67;PM736255;SENAT
PA736192;Mme;Laure;Darcos;DARCOS_Laure;27/11/70;PM736353;SENAT
PA736191;M.;Rémi;Féraud;FERAUD_Remi;24/08/71;PM736336;SENAT
PA736207;M.;Jean;Sol;SOL_Jean;03/06/52;PM736391;SENAT
PA736201;Mme;Sophie;Taillé-Polian;TAILLE_POLIAN_Sophie;04/10/74;PM736347;SENAT
PA736202;Mme;Martine;Berthet;BERTHET_Martine;27/03/61;PM736392;SENAT
PA736209;Mme;Angèle;Préville;PREVILLE_Angele;23/11/55;PM736400;SENAT
PA736235;Mme;Nathalie;Delattre;DELATTRE_Nathalie;02/12/68;PM736426;SENAT
PA736238;M.;Jean-Raymond;Hugonet;HUGONET_Jean_Raymond;10/01/58;PM736352;SENAT
PA736237;Mme;Nadia;Sollogoub;SOLLOGOUB_Nadia;09/11/61;PM736417;SENAT
PA736231;M.;Jean-Marc;Boyer;BOYER_Jean_Marc;24/02/54;PM736381;SENAT
PA736233;M.;Xavier;Iacovelli;IACOVELLI_Xavier;31/03/81;PM736411;SENAT
PA736212;M.;Julien;Bargeton;BARGETON_Julien;29/03/73;PM736331;SENAT
PA736214;M.;Rachid;Temal;TEMAL_Rachid;29/03/73;PM736290;SENAT
PA736215;M.;Michel;Dagbert;DAGBERT_Michel;28/01/62;PM736324;SENAT
PA736216;M.;Max;Brisson;BRISSON_Max;08/03/57;PM736273;SENAT
PA736217;M.;Jean-Claude;Tissot;TISSOT_Jean_Claude;22/09/63;PM736384;SENAT
PA736219;Mme;Viviane;Artigalas;ARTIGALAS_Viviane;22/10/56;PM736387;SENAT
PA736218;M.;Laurent;Duplomb;DUPLOMB_Laurent;24/10/71;PM736257;SENAT
PA736210;Mme;Christine;Lanfranchi Dorgal;LANFRANCHI_DORGAL_Christine;24/04/61;PM736249;GROUPESENAT
PA736211;Mme;Christine;Lavarde;LAVARDE_Christine;16/10/84;PM736410;SENAT
