MP,Expected_Direct_Influence,Estimated_2_Waves_Influence_2,wave2se_2,Estimated_2_Waves_Influence_10,wave2se_10,Estimated_2_Waves_Influence_25,wave2se_25,Estimated_2_Waves_Influence_50,wave2se_50,Estimated_2_Waves_Influence_100,wave2se_100
Alain Ballay,36.039682539682694,615.0,5.381449618829484,345.9,4.964775926464355,118.7,30.699201944024534,36.0,1.3341664064126333,38.6,1.2976902558006664
Alain Bocquet,201.142857142856,634.4,0.20976176963403026,621.6,0.8148619514985345,599.6,0.6033241251599343,557.7,3.8446066118655104,216.7,7.61189858051196
Alain Calmette,294.98412698412665,634.3,0.20248456731316586,627.1,0.41109609582188933,600.8,2.813538697085931,397.6,1.422673539502299,363.6,1.761817243643619
Alain Chrétien,212.69047619047703,632.6,0.35213633723318016,612.2,0.7974960814950754,552.5,5.337134062397159,282.8,2.0532900428336958,261.9,2.1234406043023664
Alain Claeys,300.88095238095246,634.8,0.12649110640673517,627.2,0.39496835316262996,606.9,2.2425431991379785,406.2,2.7342274960214996,366.8,1.7933209417167912
Alain Fauré,269.0317460317459,634.8,0.12649110640673517,626.2,0.34058772731852804,598.0,5.442425929675111,398.8,3.804733893454311,362.3,2.0349447166937975
Alain Gest,205.82539682539752,632.1,0.4571651780264984,610.5,0.9924716620639602,546.9,5.301792149830093,283.6,3.5473934092513617,253.4,1.3798550648528272
Alain Leboeuf,215.13492063492072,632.6,0.4289522117905443,611.4,1.150651989091402,536.1,6.422538438966324,277.5,1.1768602295939818,258.7,2.383484843669034
Alain Marc,109.4841269841275,628.7,0.6172519744804386,575.1,3.6481502162054666,291.5,8.851271095159158,239.9,3.004829446075101,107.4,2.191802910847597
Alain Marleix,215.13492063492117,632.6,0.45166359162544856,609.7,0.7752418977325721,543.1,15.207531029065828,281.5,3.28709598277872,261.5,1.8986837546047524
Alain Marsaud,184.41269841269798,631.2,0.6292853089020909,602.8,1.1471704319759988,426.3,19.748442976599446,262.9,1.1264990013311154,241.7,0.9279008567729635
Alain Marty,219.3253968253974,633.2,0.30983866769659335,611.9,1.0530906893520613,533.5,9.926983429018103,286.0,4.896937818678117,258.7,1.6495453919186338
Alain Moyne-Bressand,218.84920634920715,633.1,0.35916569992135944,612.9,0.6395310782127793,552.6,7.480909035672068,288.3,5.282139717955215,261.2,1.6840427548016703
Alain Rodet,292.3015873015872,634.9,0.09486832980505139,626.9,0.29832867780352595,604.0,1.574801574802362,404.5,4.452527372178637,368.1,1.499666629621397
Alain Rousset,281.4920634920637,634.7,0.14491376746189438,627.1,0.2626785107312739,600.2,2.536927275268252,399.4,5.272949838562851,360.1,2.4308434750102683
Alain Suguenot,217.23809523809518,632.3,0.4254409477236529,610.1,0.5558776843874919,530.8,10.266255403018182,277.2,2.4404917537250554,256.4,2.1128180233990808
Alain Tourret,264.33333333333394,634.7,0.20248456731316586,627.3,0.44833023542919775,611.8,1.1027239001672178,513.1,14.421130330178698,372.5,2.478911051248108
Alain Vidalies,19.0238095238095,529.5,10.730563824888232,300.8,11.752276375238969,30.6,11.481463321371539,20.7,1.030048542545447,19.9,1.479526951427381
Alexis Bachelay,272.2142857142854,634.5,0.21213203435596426,626.7,0.24698178070456936,570.8,9.405104996755751,391.2,3.1362397867510063,353.3,1.319469590403659
Alfred Marie-Jeanne,172.4603174603167,634.2,0.23664319132398462,619.7,0.8252272414311103,596.1,1.2763228431709588,543.4,3.771471861223414,178.3,4.081788823542932
André Chassaigne,231.20634920634848,634.7,0.20248456731316586,625.9,0.5907622195096772,604.4,0.7509993342207434,579.2,1.5086417732516888,369.4,15.428674602829629
André Santini,187.65873015872998,633.7,0.317804971641414,615.1,0.7930952023559341,580.6,2.654053503605381,432.9,28.492262107456472,258.2,5.827177704515282
André Schneider,223.2301587301593,632.8,0.44271887242357305,611.0,0.6633249580710799,558.0,3.40587727318528,284.5,4.806766064621826,260.9,1.6459040069214244
Anne Grommerch,187.1031746031741,631.3,0.4254409477236529,605.2,1.3326664999166145,485.3,21.39394774229385,268.9,1.4032106042928836,248.0,1.2165525060596438
Anne-Christine Lang,130.73015873015862,633.1,0.41109609582188933,615.5,1.1768602295939818,401.1,8.76977764826452,341.9,1.676007159889241,153.3,11.110400532834086
Anne-Lise Dufour-Tonini,277.0793650793649,634.4,0.25298221281347033,626.6,0.4939635614091388,594.3,5.004098320377008,402.4,1.4642404174178498,358.9,0.984377976185977
