ballot,date,title,year
1363,20/12/2016,l'ensemble du projet de loi relatif au statut de Paris et à l'aménagement métropolitain (première lecture). [dossier] [analyse du scrutin],2016
1361,13/12/2016,l'ensemble du projet de loi prorogeant l'application de la loi n° 55-385 du 3 avril 1955 relative à l'état d'urgence (première lecture). [dossier] [analyse du scrutin],2016
1357,07/12/2016,l'ensemble du projet de loi de finances rectificative pour 2016 (première lecture). [dossier] [analyse du scrutin],2016
1351,22/11/2016,l'ensemble du projet de loi de finances pour 2017 (première lecture). [dossier] [analyse du scrutin],2016
1346,08/11/2016,"l'ensemble du projet de loi relatif à la transparence, à la lutte contre la corruption et à la modernisation de la vie économique (lecture définitive) [dossier] [analyse du scrutin]",2016
1345,02/11/2016,l'ensemble du projet de loi de financement de la sécurité sociale pour 2017 (première lecture) [dossier] [analyse du scrutin],2016
1335,25/10/2016,la première partie du projet de loi de finances pour 2017 (première lecture) [dossier] [analyse du scrutin],2016
1331,18/10/2016,"le projet de loi de modernisation, de développement et de protection des territoires de montagne (première lecture). [dossier] [analyse du scrutin]",2016
1328,11/10/2016,le projet de loi de programmation relatif à l'égalité réelle outre-mer et portant autres dispositions en matière sociale et économique (première lecture) [dossier] [analyse du scrutin],2016
1325,19/07/2016,l'ensemble du projet de loi prorogeant l'application de la loi n° 55-385 du 3 avril 1955 relative à l'état d'urgence (première lecture) [dossier] [analyse du scrutin],2016
1311,06/07/2016,l'ensemble du projet de loi relatif à l'égalité et à la citoyenneté (première lecture). [dossier] [analyse du scrutin],2016
1291,21/06/2016,l'ensemble de la proposition de loi relative au remboursement des taxes d'aéroport (première lecture). [dossier] [analyse du scrutin],2016
1290,21/06/2016,l'ensemble de la proposition de loi visant à lutter contre le recours à une mère porteuse (première lecture). [dossier] [analyse du scrutin],2016
1289,21/06/2016,l'ensemble de la proposition de loi constitutionnelle visant à rendre constitutionnel le principe d'indisponibilité du corps humain (première lecture). [dossier] [analyse du scrutin],2016
1285,14/06/2016,l'ensemble de la proposition de loi organique relative à la compétence du Défenseur des droits pour la protection des lanceurs d'alerte (première lecture) [dossier] [analyse du scrutin],2016
1284,14/06/2016,"l'ensemble du projet de loi relatif à la transparence, à la lutte contre la corruption et à la modernisation de la vie économique (première lecture) [dossier] [analyse du scrutin]",2016
1274,24/05/2016,l'ensemble du projet de loi de modernisation de la justice du XXIe siècle (première lecture) [dossier] [analyse du scrutin],2016
1273,24/05/2016,"l'ensemble du projet de loi organique relatif aux garanties statutaires, aux obligations déontologiques et au recrutement des magistrats ainsi qu'au Conseil supérieur de la magistrature (première lecture) [dossier] [analyse du scrutin]",2016
1265,26/04/2016,l'ensemble du projet de loi constitutionnelle portant réforme du Conseil supérieur de la magistrature (deuxième lecture). [dossier] [analyse du scrutin],2016
